hash,block_number,from,token_b_address,token_a_amount_raw,token_a_address,token_b_amount_raw,token_b_address (1),fee
\x30f85570eee453441d2f29e2f414719384bd48fed5a2b24943f6b0565659eb45,12168504,\xfca5bccedd2e12ec0557300fbc6c736c328f4122,\x956f47f50a910163d8bf957cf5846d573e7f87ca,782000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,1407262938633390333363,\x956f47f50a910163d8bf957cf5846d573e7f87ca,30159378000000000
\xe1e416a7f45c4fb48af7b8106f33d1b1a49192c2fe5b0909558f8ef27328da61,12168504,\x959b9a62db460720944ab275f39423120dcd70f5,\x956f47f50a910163d8bf957cf5846d573e7f87ca,22227471223749760317454,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,40000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,25894744000000000
\x101c8ec50dd15c9a3464292a11e6d253e19a4773b558921f8a306b55de4dfd18,12168504,\x8c682c2a998773f6571b8e6f3eb4f5cf21012bfa,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,76959817763330301201380,\x956f47f50a910163d8bf957cf5846d573e7f87ca,36101835835020000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,56818248328329752
\xc0b8d1ba706bf6c391d358c1a2db8b22036dfba7851023fe5de1987d545e2cc1,12168504,\x1122577f6e4453a3e34f4fff92066f0ff8247518,\x956f47f50a910163d8bf957cf5846d573e7f87ca,9367389113387342123,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20090067799571674466866,\x956f47f50a910163d8bf957cf5846d573e7f87ca,62273602000000000
\x21a5ec97c96774611ec12f9090ad1af498a53f70e9f3c60b8d2674f1cadfab7e,12168504,\xc13c37c6a3b077ef147c750a310cde3635ac7c49,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,53431444423567859704600,\x956f47f50a910163d8bf957cf5846d573e7f87ca,29862489271381951850866,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,19322300000000000
\x8ba9abe798f285ebd7d7ff17a448a3667d7eb005697fd3f482ceb7b8a215230a,12168504,\x45aee0c2d6cf993d532c55a60a5cf2833e7cd97a,\x956f47f50a910163d8bf957cf5846d573e7f87ca,11886065175488276461192,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,21396561710957081809337,\x956f47f50a910163d8bf957cf5846d573e7f87ca,21523348200000000
\xf318e47266887eedf4847cd0a4e08311409e80ba007473bb1260721bfbb05f16,12168505,\xe07068a340c09dc485cfe3b9c291dbc1e10d0bb8,\x956f47f50a910163d8bf957cf5846d573e7f87ca,20000000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,36136318608064694078916,\x956f47f50a910163d8bf957cf5846d573e7f87ca,23352120000000000
\x72ab2aa8b95d4ab727b4c743e7539257062b63e748e23a161b047ed2960c8b93,12168505,\x2e465ddca6d2c6c81ce6f260ab13148d43e93371,\x956f47f50a910163d8bf957cf5846d573e7f87ca,4433075894268932326630,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,8000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,31834200000000000
\xaf94b73e8b29b01b3130c53ce0bf1eba30403998d28626ee0e0b0d908b091f61,12168505,\xa3b531037003eaf965d31c2e0eb45bc41728e45e,\x956f47f50a910163d8bf957cf5846d573e7f87ca,134535387977966101645086,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,242474802296674007894286,\x956f47f50a910163d8bf957cf5846d573e7f87ca,35351946000000000
\xf9805266cd3b07be17ec246f319c18b017e814666cdea82877b955a13a0a720f,12168505,\xa23a238528e19aa16c8d3c98a59695d717d3a096,\x956f47f50a910163d8bf957cf5846d573e7f87ca,767830277441648333967,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,1385682091757220536223,\x956f47f50a910163d8bf957cf5846d573e7f87ca,24962698200000000
\x7aeb7b0529e35deed3877ed6547f1cff7caaf1edf5a5769f68cd37c5a3ee1080,12168505,\x69e874f26aa1fb3841bf1003a08247ab96ca0426,\x956f47f50a910163d8bf957cf5846d573e7f87ca,16668370652234820991071,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,30000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,66577000000000000
\x60b882ec957282e04017b35c3828efc1faa1d05076d3e3a84221335fea18af49,12168505,\xf56e59a2cb9390d0ac2fe1a9b8bfa83df35e0a73,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,1627632257163256785419,\x956f47f50a910163d8bf957cf5846d573e7f87ca,907333707451770647669,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,25192200000000000
\x2d97f8e47494250db52da504ddfbabfb820f95ab703c05fd2a8c91700486e7f3,12168505,\x9e55f1678560fd2b345ac9a509df55bf732632f1,\x956f47f50a910163d8bf957cf5846d573e7f87ca,4087017315375155875,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8764532173548919809116,\x956f47f50a910163d8bf957cf5846d573e7f87ca,55822950000000000
\x4383cd5685a7a43ac109e9180b78d57fea1944059ce8b59b9cea6c5d0d9f9aeb,12168505,\x93c2181aafc7b41cf9be0279da868c871471c4e4,\x956f47f50a910163d8bf957cf5846d573e7f87ca,22575659838790440911763,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,40755355639918251065405,\x956f47f50a910163d8bf957cf5846d573e7f87ca,20852250000000000
\x33a5d6b750a06033073ede48e5264ea4af5764dc5c6fe65b33073f1dea086ced,12168505,\xa5c903dd8e869da4d4e8d9bc0e2df9d833c1a5df,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,3932786217801195920051,\x956f47f50a910163d8bf957cf5846d573e7f87ca,2190115845573239494375,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18560906131102146
